	zscore	H_statistic	H_pvalue	S4S3_pvalue	S0S2_pvalue	S0S1_pvalue	S3S5_pvalue
Fbxl4	1.7255090475082397	38.84444782472891	1.8724806596919846e-08	1.555354447051162e-08	0.0067564452119016835	1.0	0.001536508187306371
Naa30	1.598459005355835	38.65480384969005	2.05393306027244e-08	3.2492082278267183e-07	0.0045767936625485985	1.0	3.1089142174575606e-05
Mcfd2	-1.5540369749069214	37.869887216707326	3.011552501991402e-08	3.5803590721242027e-07	7.129534012124803e-05	1.0	0.0013008627064173893
Fam45a	1.542451024055481	37.79062033987893	3.130187577093038e-08	4.847533761734873e-07	0.008624715132581269	1.0	2.96781539373372e-05
Prpf39	1.6431550979614258	37.76374398475673	3.1714626103508514e-08	1.9890372531649663e-08	0.004962229151751759	1.0	0.0038751835697473677
Metap1d	1.699512243270874	37.6245960195184	3.394009681186678e-08	6.016499350540367e-06	3.987843981788986e-06	1.0	0.0013692460717543962
Dynlt3	1.718015193939209	37.34197967439109	3.895168508762449e-08	1.0474965536122327e-06	3.865333228697368e-05	1.0	0.0009710615682505268
Yipf6	1.6738513708114624	37.05308303632066	4.483910817361678e-08	1.0100640432849386e-05	5.22342598438728e-05	1.0	5.22342598438728e-05
Sgta	1.5334450006484985	36.96259059607258	4.686005354205867e-08	3.289053522128216e-08	0.002092859688403419	1.0	0.007173496506503593
Dpp4	-1.620119333267212	35.47489642228628	9.669120002385274e-08	1.271138300548629e-05	4.108694903102177e-05	1.0	0.00025626199608926205
Dnpep	1.7257509231567383	35.378710449254974	1.0132454490155593e-07	9.70700644347762e-07	4.865461662692044e-05	1.0	0.007948406509172425
Smpd1	1.6595280170440674	34.8662689579085	1.3001345380405073e-07	5.954445496699445e-06	5.954445496699445e-06	1.0	0.007007478296394019
Vstm5	1.7064571380615234	34.51894635893392	1.5393951670515782e-07	3.854801906830403e-06	0.0035591727936955643	1.0	5.712967969654561e-05
Gss	1.6617614030838013	33.57853190584222	2.4315616961389643e-07	4.164335903956085e-07	0.004107964092617282	1.0	0.002055782619300594
Aff4	-1.6691879034042358	33.39292006269874	2.6610491769143006e-07	2.3262531382517383e-06	0.00011232451852952378	1.0	0.00607948049837675
Nek8	1.668376088142395	33.013824977672705	3.1991192089300544e-07	8.739175368468713e-05	9.996513949568416e-05	1.0	9.996513949568416e-05
Decr1	1.7205487489700317	32.85906761630926	3.4488332566000113e-07	2.489198460299583e-05	5.4583905552397596e-05	1.0	0.0009597773900001774
Gm28933	1.6901512145996094	32.82927335269278	3.499096977624077e-07	1.6965291675483158e-05	1.6965291675483158e-05	1.0	0.006433260189226764
