	zscore	H_statistic	H_pvalue	S4S3_pvalue	S0S2_pvalue	S0S1_pvalue	S3S5_pvalue
Dusp1	1.5497533082962036	194.50568840002418	6.490056409200365e-42	1.0	6.516386060345527e-21	2.1590641988901967e-41	7.44205343954417e-05
Scarf1	1.725370168685913	194.42037713106149	6.771412646872839e-42	1.0	4.809218276407334e-16	5.746092189708403e-42	7.149326930970971e-13
Sept6	-1.6513149738311768	194.36430076129787	6.962963258833006e-42	1.9131806627983837e-41	4.1362963557403845e-10	1.0	5.775611185261504e-18
Ptdss2	1.5723954439163208	193.80587040789922	9.192576838640707e-42	2.6028423736662473e-38	1.89466946103036e-08	1.0	1.1482323200783393e-22
Ccnf	1.5672471523284912	193.2728323747386	1.1983758134673865e-41	5.258311838358144e-41	8.346783977728239e-09	1.0	1.813016659406065e-18
Stard10	1.6767709255218506	193.13128674337813	1.2857952343003692e-41	2.973359902906312e-31	1.133114088084833e-27	1.0	5.2937716885116834e-17
Abcd2	1.7312736511230469	192.5700714032057	1.6998582482500128e-41	2.6484256090023843e-39	1.0	1.1818110264384873e-38	1.5681298202244815e-28
Hebp1	1.7030338048934937	191.37053843812197	3.08705981537248e-41	7.853440213724544e-32	3.2945045111041086e-20	1.0	4.1444552490465414e-23
I830127L07Rik	1.692965030670166	191.24716351513084	3.282441328622957e-41	2.265894245839142e-18	1.0	3.7810077265617525e-43	2.5428171310274074e-08
Bcl2	1.709141492843628	190.3771209293092	5.059928891556742e-41	7.656678941527893e-39	1.0	1.99942810891962e-42	4.470669082905487e-16
Ptgs1	1.7246942520141602	190.05977744105476	5.925106454905019e-41	1.0	2.260270944954335e-21	1.9358716655548225e-38	6.113432015058049e-11
Hexa	1.699415922164917	189.98814466213958	6.140023153038211e-41	1.01213459270146e-28	1.0	3.5799583408065935e-44	7.394120231385841e-23
Selenbp1	1.647984266281128	189.3972822294546	8.237677724816548e-41	1.7946291141379142e-26	5.3415142963250286e-30	1.0	9.944930288731915e-18
Pigq	1.6206343173980713	189.32938926035303	8.520606782082204e-41	8.465831735294717e-38	1.471814416788047e-12	1.0	4.083409557416837e-20
Ampd3	1.7158979177474976	189.32037815743806	8.558881860356161e-41	1.4340954406155847e-34	5.359735858982866e-17	1.0	1.4047491515520822e-21
Edem1	1.6622895002365112	188.8695036012053	1.071052666459007e-40	7.724746972584694e-41	1.0	8.188182644986455e-27	3.6504691869595243e-29
Paqr9	1.7313542366027832	188.62127435885841	1.2117988020844045e-40	4.4407646174226826e-39	3.338087492505485e-19	1.0	2.5322067032290355e-12
Dhrs3	1.5246554613113403	188.52812831113533	1.269260563704535e-40	5.407540150656584e-20	2.8167478294787586e-09	9.35162930382676e-39	1.0
Rhof	1.5943900346755981	188.4556887136707	1.3158253979344225e-40	1.0	1.181163317430723e-27	1.7255788413030187e-34	1.525387358170758e-06
Atp2a3	-1.705767273902893	188.28740683866982	1.4306989176520905e-40	4.044128760829339e-40	2.3315846514156402e-18	1.0	8.46877371403786e-11
Csrp3	1.7261488437652588	187.9876502727426	1.6607230101546747e-40	4.618193107414411e-42	4.122976907128185e-11	1.0	4.730463769147395e-13
Kif2c	1.5103771686553955	187.75449828262822	1.8649141927382165e-40	8.967029143639679e-40	0.0002976007220567138	1.0	4.903712870300528e-17
Abcg3	1.5963243246078491	187.24736942870507	2.3999342263619063e-40	1.0	3.231732494958107e-19	2.8457238082435052e-40	0.0001328784873836604
Gm4951	1.5497758388519287	187.218227483834	2.4349721016670922e-40	1.0	7.748277445699381e-21	2.6944195957786083e-39	5.121897951922419e-05
