	label	label_color
Prog_422	MEP	#286ee1
Prog_380	MEP	#286ee1
Prog_387	CMP	#d84f40
Prog_393	MEP	#286ee1
Prog_399	CMP	#d84f40
Prog_405	MEP	#286ee1
Prog_411	MEP	#286ee1
Prog_417	MEP	#286ee1
Prog_423	CMP	#d84f40
Prog_381	MEP	#286ee1
Prog_388	MEP	#286ee1
Prog_394	MEP	#286ee1
Prog_406	CMP	#d84f40
Prog_412	CMP	#d84f40
Prog_418	MEP	#286ee1
Prog_424	MEP	#286ee1
Prog_382	CMP	#d84f40
Prog_389	MEP	#286ee1
Prog_395	MEP	#286ee1
Prog_401	MEP	#286ee1
Prog_407	MEP	#286ee1
Prog_413	CMP	#d84f40
Prog_419	CMP	#d84f40
Prog_425	MEP	#286ee1
Prog_383	MEP	#286ee1
Prog_426	CMP	#d84f40
Prog_390	MEP	#286ee1
Prog_396	CMP	#d84f40
Prog_402	GMP	#10b460
Prog_408	GMP	#10b460
